"actor_id","emissions_id","year","total_emissions","datasource_id"
"NZ WLG","CDPCitiesTargets:2021:base:NZ WLG",2001,1057119,"CDPCitiesTargets:2021"
"NZ WLG","CDPCitiesTargets:2021:target:NZ WLG",2040,338278.08,"CDPCitiesTargets:2021"
"GB SUN","CDPCitiesTargets:2021:target:GB SUN",2040,0,"CDPCitiesTargets:2021"
"SE HEL","CDPCitiesTargets:2021:base:SE HEL",1990,1032000,"CDPCitiesTargets:2021"
"SE HEL","CDPCitiesTargets:2021:target:SE HEL",2035,0,"CDPCitiesTargets:2021"
"DK FRE","CDPCitiesTargets:2021:base:DK FRE",2010,234752,"CDPCitiesTargets:2021"
"DK FRE","CDPCitiesTargets:2021:target:DK FRE",2020,176064,"CDPCitiesTargets:2021"
"FR NCE","CDPCitiesTargets:2021:base:FR NCE",2012,1900,"CDPCitiesTargets:2021"
"FR NCE","CDPCitiesTargets:2021:target:FR NCE",2030,1330,"CDPCitiesTargets:2021"
"BR SME","CDPCitiesTargets:2021:base:BR SME",2016,4673758.81,"CDPCitiesTargets:2021"
"BR SME","CDPCitiesTargets:2021:target:BR SME",2030,4178340.37614,"CDPCitiesTargets:2021"
"BR REC","CDPCitiesTargets:2021:target:BR REC",2050,0,"CDPCitiesTargets:2021"
"IS AKU","CDPCitiesTargets:2021:target:IS AKU",2040,0,"CDPCitiesTargets:2021"
"MX ZAP","CDPCitiesTargets:2021:base:MX ZAP",2016,3010166,"CDPCitiesTargets:2021"
"MX ZAP","CDPCitiesTargets:2021:BAU:MX ZAP",2030,4297299,"CDPCitiesTargets:2021"
"TW TYN","CDPCitiesTargets:2021:base:TW TYN",2005,30840051.55,"CDPCitiesTargets:2021"
"TW TYN","CDPCitiesTargets:2021:target:TW TYN",2050,0,"CDPCitiesTargets:2021"
"CR QPS","CDPCitiesTargets:2021:base:CR QPS",2018,1927,"CDPCitiesTargets:2021"
"CR QPS","CDPCitiesTargets:2021:target:CR QPS",2025,1925.073,"CDPCitiesTargets:2021"
"CH BRN","CDPCitiesTargets:2021:target:CH BRN",2045,0,"CDPCitiesTargets:2021"
"JP STM","CDPCitiesTargets:2021:base:JP STM",2013,6960000,"CDPCitiesTargets:2021"
"JP STM","CDPCitiesTargets:2021:target:JP STM",2030,4524000,"CDPCitiesTargets:2021"
"KR SUO","CDPCitiesTargets:2021:base:KR SUO",2005,5843189,"CDPCitiesTargets:2021"
"KR SUO","CDPCitiesTargets:2021:target:KR SUO",2030,4382391.75,"CDPCitiesTargets:2021"
"CR SJO","CDPCitiesTargets:2021:base:CR SJO",2017,201008,"CDPCitiesTargets:2021"
"CR SJO","CDPCitiesTargets:2021:target:CR SJO",2025,198997.92,"CDPCitiesTargets:2021"
"FR URO","CDPCitiesTargets:2021:target:FR URO",2050,232921,"CDPCitiesTargets:2021"
